batch,protein,Name,Composition,Sites,sample_07,sample_08,sample_09,sample_15,sample_16,sample_17,mean,sd
56714,hcg_alpha,none,,N52,5.8403786037980865,5.9639130942769105,5.701944450779938,NA,NA,NA,5.835412049618312,0.13105492184281542
56714,hcg_alpha,M5,"2 HexNAc, 5 Hex",N52,1.891010837332905,1.8310259499972972,1.8070777797856419,NA,NA,NA,1.8430381890386147,0.04323667369719096
56714,hcg_alpha,M6,"2 HexNAc, 6 Hex",N52,0.19579492740526538,0.19007793195210038,0.18772555576413952,NA,NA,NA,0.19119947170716842,0.004149949184905782
56714,hcg_alpha,M7,"2 HexNAc, 7 Hex",N52,0.09505258014204336,0.06399871653800077,0.060352888955947655,NA,NA,NA,0.0731347285453306,0.019068748743720918
56714,hcg_alpha,A1G1,"3 HexNAc, 4 Hex",N52,2.2926414576513983,2.3367378790441697,2.263233335848037,NA,NA,NA,2.297537557514535,0.03699605807407584
56714,hcg_alpha,A1S1,"3 HexNAc, 4 Hex, 1 Neu5Ac",N52,2.1085607566720888,1.9182176619019304,2.000066668888963,NA,NA,NA,2.0089483624876605,0.09548186630222637
56714,hcg_alpha,M5-A1G1,"3 HexNAc, 6 Hex",N52,0.9706073324363582,1.0079361896175598,0.9351188899279099,NA,NA,NA,0.9712208039939426,0.03641252592222964
56714,hcg_alpha,A1S1M5,"3 HexNAc, 6 Hex, 1 Neu5Ac",N52,1.1664022598416237,1.116053912379305,1.1807411124230456,NA,NA,NA,1.1543990948813247,0.03397301045201677
56714,hcg_alpha,A2G1,"4 HexNAc, 4 Hex",N52,1.6734609179937212,1.7211643929974592,1.6526866685029853,NA,NA,NA,1.6824373264980552,0.035110277985410145
56714,hcg_alpha,A2S1G0,"4 HexNAc, 4 Hex, 1 Neu5Ac",N52,0.6091397741497145,0.5876721382372277,1.1702144457446826,NA,NA,NA,0.7890087860438749,0.3303082364835363
56714,hcg_alpha,A2G2,"4 HexNAc, 5 Hex",N52,24.934567678106447,25.63436329996216,23.86044447095605,NA,NA,NA,24.80979181634155,0.8935176353799522
56714,hcg_alpha,A2G2F,"4 HexNAc, 5 Hex, 1 Fuc",N52,1.1546880334156675,1.1753442764744555,1.1035455567817174,NA,NA,NA,1.1445259555572802,0.03696234444916934
56714,hcg_alpha,A2S1G1,"4 HexNAc, 5 Hex, 1 Neu5Ac",N52,32.967180084476304,31.912166557095752,33.15900003684333,NA,NA,NA,32.67944889280513,0.6713719986343265
56714,hcg_alpha,A2S1G1F,"4 HexNAc, 5 Hex, 1 Neu5Ac, 1 Fuc",N52,1.3705644918368576,1.3444961975694438,1.308815557009795,NA,NA,NA,1.3412920821386989,0.030998911349261263
56714,hcg_alpha,A2S2,"4 HexNAc, 5 Hex, 2 Neu5Ac",N52,19.077454465128422,19.530943466637833,19.825222244250245,NA,NA,NA,19.4778733920055,0.3766981384202831
56714,hcg_alpha,A2S2F,"4 HexNAc, 5 Hex, 2 Neu5Ac, 1 Fuc",N52,0.858485450930779,0.8021637495226254,0.8684500009649444,NA,NA,NA,0.8430330671394496,0.0357428161480666
56714,hcg_alpha,NA,"5 HexNAc, 6 Hex",N52,0.4518344478583047,0.48652975242785323,0.4719455560799395,NA,NA,NA,0.47010325212203247,0.017420866875630044
56714,hcg_alpha,A3S1G2,"5 HexNAc, 6 Hex, 1 Neu5Ac",N52,0.8300366153248856,0.7917007440940694,0.8351155564834617,NA,NA,NA,0.8189509719674722,0.023735629340452594
56714,hcg_alpha,A3S1G2F,"5 HexNAc, 6 Hex, 1 Neu5Ac, 1 Fuc",N52,0.174039935471347,0.16531548577118454,0.16825122240916804,NA,NA,NA,0.16920221455056653,0.0044392899412425664
56714,hcg_alpha,A3S2G1,"5 HexNAc, 6 Hex, 2 Neu5Ac",N52,0.9839950197803081,1.0079361896175598,1.035122223372358,NA,NA,NA,1.0090178109234087,0.02558075771498335
56714,hcg_alpha,A3S2G1F,"5 HexNAc, 6 Hex, 2 Neu5Ac, 1 Fuc",N52,0.13354218125589895,0.14090180643788724,0.13825022237583356,NA,NA,NA,0.13756473668987326,0.0037273903302553943
56714,hcg_alpha,A3S3,"5 HexNAc, 6 Hex, 3 Neu5Ac",N52,0.17571339638934072,0.1831025949997297,0.1380747779311942,NA,NA,NA,0.1656302564400882,0.024148050871996552
56714,hcg_alpha,A3S3F+LacN1,"6 HexNAc, 7 Hex, 3 Neu5Ac, 1 Fuc",N52,0.04484875260223173,0.04377023937612586,0.04263300004737,NA,NA,NA,0.043750664008575864,0.0011080059757759008
56714,hcg_alpha,A3S2G1F+LacN1,"6 HexNAc, 7 Hex, 2 Neu5Ac, 1 Fuc",N52,NA,0.04446777307136293,0.06070377784522642,NA,NA,NA,0.052585775458294674,0.01148058907497603
56714,hcg_alpha,A3S3F,"5 HexNAc, 6 Hex, 3 Neu5Ac, 1 Fuc",N52,NA,NA,0.02526400002807111,NA,NA,NA,0.02526400002807111,NA
56714,hcg_alpha,none,,N78,0.6299364052751163,0.6330352457445336,0.641583214357263,NA,NA,NA,0.6348516217923043,0.006032118774458914
56714,hcg_alpha,M5,"2 HexNAc, 5 Hex",N78,0.16950578844235,0.16529253638885044,0.16660876357024576,NA,NA,NA,0.1671356961338154,0.0021554852496577506
56714,hcg_alpha,M6,"2 HexNAc, 6 Hex",N78,0.02933291658151305,0.026878877497882977,0.02764133216005599,NA,NA,NA,0.02795104207981734,0.0012559924887494025
56714,hcg_alpha,M7,"2 HexNAc, 7 Hex",N78,0.07549619513602539,0.06229870672406521,0.05731138594653811,NA,NA,NA,0.06503542926887623,0.00939622578645133
56714,hcg_alpha,A1G1,"3 HexNAc, 4 Hex",N78,0.5025065217652646,0.44211985417078536,0.45139056187981347,NA,NA,NA,0.46533897927195444,0.03252008866224948
56714,hcg_alpha,A1S1,"3 HexNAc, 4 Hex, 1 Neu5Ac",N78,0.6010843561785462,0.5903304871030373,0.5908651736966097,NA,NA,NA,0.5940933389927311,0.0060602981286078834
56714,hcg_alpha,M5-A1G1,"3 HexNAc, 6 Hex",N78,0.07501532765108256,0.06958363613937929,0.06923012550179161,NA,NA,NA,0.07127636309741782,0.0032428589844291592
56714,hcg_alpha,A1S1M5,"3 HexNAc, 6 Hex, 1 Neu5Ac",N78,0.37507663825541276,0.35419829226182237,0.3524903825915397,NA,NA,NA,0.3605884377029249,0.012576176099963478
56714,hcg_alpha,A2G1,"4 HexNAc, 4 Hex",N78,0.5554019451089766,0.5325534607057187,0.5274676228707933,NA,NA,NA,0.5384743428951628,0.014878649943883432
56714,hcg_alpha,A2S1G0,"4 HexNAc, 4 Hex, 1 Neu5Ac",N78,0.5770409819314043,0.9495528686168004,0.5198599167716953,NA,NA,NA,0.6821512557733,0.23333481409056536
56714,hcg_alpha,A2G2,"4 HexNAc, 5 Hex",N78,5.818496567808326,5.626979962173632,5.578984472671852,NA,NA,NA,5.674820334217936,0.12672030945025742
56714,hcg_alpha,A2G2F,"4 HexNAc, 5 Hex, 1 Fuc",N78,0.1514732577569936,0.08139024588144003,0.09433555562881495,NA,NA,NA,0.10906635308908286,0.03729147937195335
